numdomains,ipscount,ipsv4count,ipsv6count
3985,0,0,0
10738,1,1,0
389,2,1,1
190763,2,2,0
7087,3,2,1
40366,3,3,0
13934,4,2,2
3165,4,3,1
48154,4,4,0
604,5,3,2
797,5,4,1
1000,5,5,0
3826,6,3,3
504,6,4,2
772,6,5,1
635,6,6,0
2,7,3,4
3011,7,4,3
339,7,5,2
79,7,6,1
79,7,7,0
5942,8,4,4
317,8,5,3
379,8,6,2
8,8,7,1
56,8,8,0
706,9,5,4
15,9,6,3
5,9,7,2
69,9,8,1
24,9,9,0
1173,10,5,5
7,10,6,4
13,10,7,3
10,10,8,2
40,10,9,1
393,10,10,0
13,11,6,5
136,11,7,4
2,11,8,3
15,11,9,2
2,11,10,1
259,12,6,6
14,12,7,5
1,12,8,4
1,12,9,3
1,12,10,2
303,13,7,6
1,13,8,5
1,13,9,4
20,14,7,7
14,14,8,6
1,14,9,5
2,14,10,4
1,14,13,1
1,14,14,0
3,15,8,7
22,15,9,6
4,15,10,5
2,15,15,0
7,16,8,8
1,16,9,7
1,16,10,6
81,16,16,0
26,17,9,8
1,17,17,0
5,18,9,9
8,18,10,8
1,18,16,2
9,19,10,9
3,19,15,4
3,20,10,10
23,20,11,9
5,21,11,10
3,22,11,11
7,22,12,10
12,23,12,11
5,23,13,10
1,23,14,9
3,24,12,12
9,24,13,11
30,25,13,12
8,25,14,11
1,25,15,10
5,27,14,13
